WP4;DRN;campaign;alpha;beta;gamma
3744;France;1;0.878393075;-0.005177698;0.873215377
3744;France;2;0.842244235;0.010948096;0.853192331
3744;France;3;0.828153122;0.019452689;0.84760581
3744;France;4;0.840254461;0.018346614;0.858601075
3744;France;5;0.882374747;-0.008461501;0.873913246
3745;France;1;0.878393075;-0.005177698;0.873215377
3745;France;2;0.842244235;0.010948096;0.853192331
3745;France;3;0.828153122;0.019452689;0.84760581
3745;France;4;0.840254461;0.018346614;0.858601075
3745;France;5;0.882374747;-0.008461501;0.873913246
3746;France;1;0.886453356;-0.00603749;0.880415865
3746;France;2;0.867946743;-0.002634413;0.86531233
3746;France;3;0.848767324;0.007132736;0.85590006
3746;France;4;0.835294415;0.014878793;0.850173208
3746;France;5;0.878332848;-0.005215259;0.873117589
3747;France;1;0.887258697;-0.00665597;0.880602727
3747;France;2;0.862067721;1.86E-04;0.862254043
3747;France;3;0.850404152;0.006142593;0.856546745
3747;France;4;0.856979713;0.002642193;0.859621906
3747;France;5;0.886590974;-0.006534253;0.880056722
3748;France;1;0.751469513;0.082842236;0.834311749
3748;France;2;0.666385801;0.144198821;0.810584621
3748;France;3;0.624363633;0.17546501;0.799828643
3748;France;4;0.78704542;0.049085935;0.836131355
3748;France;5;0.898747909;-0.00263148;0.896116429
3752;France;1;0.821237354;0.023810934;0.845048289
3752;France;2;0.763488669;0.063782423;0.827271092
3752;France;3;0.747204799;0.076051789;0.823256587
3752;France;4;0.758862054;0.067511975;0.826374029
3752;France;5;0.829762538;0.019216656;0.848979195
3761;France;1;0.858314444;0.002186309;0.860500753
3761;France;2;0.809306166;0.031575658;0.840881824
3761;France;3;0.792234394;0.043540349;0.835774743
3761;France;4;0.802827801;0.036458188;0.839285989
3761;France;5;0.859472274;0.002360774;0.861833048
3753;France;1;0.836989415;0.013828591;0.850818007
3753;France;2;0.781952928;0.0503893;0.832342228
3753;France;3;0.764971778;0.062908554;0.827880332
3753;France;4;0.776133718;0.054906374;0.831040092
3753;France;5;0.842578116;0.011011606;0.853589722
3754;France;1;0.836989415;0.013828591;0.850818007
3754;France;2;0.781952928;0.0503893;0.832342228
3754;France;3;0.764971778;0.062908554;0.827880332
3754;France;4;0.776133718;0.054906374;0.831040092
3754;France;5;0.842578116;0.011011606;0.853589722
3760;France;1;0.871823092;0.001649421;0.873472513
3760;France;2;0.83204533;0.019211615;0.851256945
3760;France;3;0.813033834;0.030549623;0.843583456
3760;France;4;0.850296306;0.006620132;0.856916439
3760;France;5;0.891527194;0.013963817;0.905491011
3755;France;1;0.873808597;0.008608367;0.882416964
3755;France;2;0.859288461;0.005597217;0.864885678
3755;France;3;0.851314044;0.007840679;0.859154724
3755;France;4;0.851768549;0.005333135;0.857101684
3755;France;5;0.879971585;0.00324267;0.883214255
3756;France;1;0.875036973;0.010935947;0.88597292
3756;France;2;0.864649473;0.004111808;0.86876128
3756;France;3;0.858998758;0.004276688;0.863275446
3756;France;4;0.863476668;0.002314974;0.865791642
3756;France;5;0.876077765;0.008963542;0.885041307
3757;France;1;0.871218112;0.017053424;0.888271536
3757;France;2;0.861717608;0.008342823;0.870060431
3757;France;3;0.85561117;0.007986595;0.863597764
3757;France;4;0.859997263;0.006156597;0.86615386
3757;France;5;0.861656169;0.038065573;0.899721742
3758;France;1;0.866500173;0.035401366;0.901901539
3758;France;2;0.874688811;0.013819049;0.888507861
3758;France;3;0.880445755;0.004048041;0.884493797
3758;France;4;0.88167282;0.004868219;0.886541039
3758;France;5;0.866855124;0.03364704;0.900502164
3759;France;1;0.878144732;0.001177216;0.879321948
3759;France;2;0.849023844;0.009657318;0.858681162
3759;France;3;0.856121685;0.005156969;0.861278654
3759;France;4;0.843932482;0.010119784;0.854052266
3759;France;5;0.890207032;0.014608438;0.90481547
3528;France;1;0.87580109;-0.004911042;0.870890048
3528;France;2;0.849438988;0.010855541;0.860294529
3528;France;3;0.84327083;0.019234492;0.862505321
3528;France;4;0.848782282;0.017272124;0.866054406
3528;France;5;0.875247072;0.007502516;0.882749587
3736;France;1;0.816115647;0.029352037;0.845467684
3736;France;2;0.760325394;0.067000333;0.827325727
3736;France;3;0.74437056;0.078900732;0.823271291
3736;France;4;0.756059092;0.07058165;0.826640741
3736;France;5;0.822163278;0.027351214;0.849514492
3529;France;1;0.881095857;-0.007532055;0.873563802
3529;France;2;0.856394739;0.006040208;0.862434947
3529;France;3;0.850954591;0.01331322;0.86426781
3529;France;4;0.856492166;0.011087066;0.867579232
3529;France;5;0.883526649;0.001482482;0.885009131
3530;France;1;0.875920841;-0.005349767;0.870571073
3530;France;2;0.848908092;0.010492417;0.859400509
3530;France;3;0.843564725;0.017706563;0.861271288
3530;France;4;0.849697026;0.015005906;0.864702933
3530;France;5;0.878545341;0.003893434;0.882438774
3531;France;1;0.876324595;-0.005604567;0.870720028
3531;France;2;0.849803622;0.009723672;0.859527294
3531;France;3;0.844875429;0.016591165;0.861466594
