campaing,WP4_ID,nep
1,3827,-0.7551300774717165
1,3828,-0.6804634108046843
1,3829,-0.49714773731270706
1,3830,-0.4460146904371638
1,3831,-0.6000012528342205
1,3832,-0.6409066407085806
1,3833,-1.1711884049791217
1,3834,-1.0415183213756085
1,3835,-1.3197941898737073
1,3836,-1.280157646375971
1,3837,-1.3477944508317041
1,3838,-1.7429005714556793
1,3839,-1.7853317507538669
1,3840,-1.7878490958329056
1,3841,-1.7720590364864375
1,3842,-2.0191121728506882
1,3843,-1.9437897245442615
1,3844,-2.6722045100136245
1,3845,-4.431502561724995
1,3846,-3.686865463750443
1,3847,-2.2633766035324343
1,3848,-1.821957836082725
1,3849,-1.6963449947730922
1,3850,-1.1392994209596246
1,3851,-0.49753210938878767
1,3852,-0.460170018125849
1,3853,-1.3903770275594163
1,3854,-1.2455520218638865
1,3855,-1.6233593654900418
1,3856,-1.2654388196429205
1,3857,-1.241433151505297
1,3858,-1.6674827758085184
1,3859,-1.7313745645245089
1,3860,-1.3793814817583707
1,3861,-1.127216396575082
1,3862,-1.1282505141311379
1,3863,-1.0804931135552485
1,3864,-1.216714601119212
1,3865,-1.144686507313663
1,3866,-1.1507724711257006
1,3867,-1.3048028973874506
1,3868,-1.3027193258541638
1,3869,-1.6663183665321992
1,3870,-1.4650993151246403
1,3871,-1.1926409762390282
1,3872,-1.6484573793777302
1,3873,-1.571625515388118
1,3874,-1.2809322420502576
1,3875,-1.3376659272780798
1,3876,-1.2843822355153258
1,3877,-1.3097742370729955
1,3878,-1.1948048147906734
1,3879,-1.2658190901049462
1,3880,-1.7561415960414444
1,3947,-0.5239571912649887
2,3507,0.0520137214349467
2,3508,0.6314986364235813
2,3509,0.5541432945242307
2,3510,0.5445778083045966
2,3511,0.7155499907049012
2,3512,0.7595063194720224
2,3513,1.228837458901263
2,3514,2.316217002789
2,3515,2.7484196863508017
2,3516,1.8967329523506467
2,3517,1.2042995964912728
2,3518,1.8300178222911068
2,3519,3.618168021652747
2,3520,1.5593314580054418
2,3521,6.268115736614916
2,3522,3.2478879089916806
2,3523,3.6101794444551722
2,3524,2.810287520992203
2,3525,4.258101114611993
2,3526,3.7272252909089922
2,3527,2.2501079556983505
2,3528,2.0685747150974683
2,3529,1.2981554030478237
2,3530,1.9628731811638984
2,3531,2.064607869086156
2,3532,2.144371960566849
2,3533,2.9508916122707434
2,3534,2.2614513415161435
2,3535,1.067070776274588
2,3536,0.5161161105990367
2,3537,0.45996269950378943
2,3538,0.42282255425942356
2,3539,0.3781456219182308
2,3540,0.7306907690670623
2,3541,0.3526486604282456
2,3542,0.6285214741081115
2,3543,-0.3892259036317134
2,3544,-0.27557126435999085
2,3545,-0.4437304382562548
