WP4,campaign,co2,pu
3570,6,282.3446602961026,603570
3571,1,1201.2509848360314,103571
3571,2,1076.618812544863,203571
3571,3,627.0467663979639,303571
3571,4,918.3206927660126,403571
3571,5,517.6249659315179,503571
3571,6,1067.4651428914012,603571
3572,1,1178.0670494190795,103572
3572,2,1014.8299874813797,203572
3572,3,618.0079729198277,303572
3572,4,913.0143282879442,403572
3572,5,547.9121286963322,503572
3572,6,910.4784423695112,603572
3573,1,464.4476588667673,103573
3573,2,434.04569677781365,203573
3573,3,173.18617681960603,303573
3573,4,775.9842201973389,403573
3573,5,54.68382218146549,503573
3573,6,872.6585337577685,603573
3574,1,6219.23065989976,103574
3574,2,4598.353560822318,203574
3574,3,3229.5350248161694,303574
3574,4,6501.836520637031,403574
3574,5,1734.1637988709147,503574
3574,6,9096.487003340128,603574
3575,1,1515.1099263308593,103575
3575,2,1260.4772858823262,203575
3575,3,914.9502877702896,303575
3575,4,1102.0741198853536,403575
3575,5,828.6663477238267,503575
3575,6,1224.7160681828111,603575
3576,1,2809.9676527793085,103576
3576,2,2389.4864830312918,203576
3576,3,1648.8483989769165,303576
3576,4,2309.0805674666644,403576
3576,5,1275.2857667844671,503576
3576,6,2008.7827812384276,603576
3577,1,1965.1051662323275,103577
3577,2,1909.2466189708784,203577
3577,3,1261.9578249536157,303577
3577,4,1518.6187496360096,403577
3577,5,841.8072905766752,503577
3577,6,1581.7572311029135,603577
3578,1,2860.5521247446723,103578
3578,2,2552.4415651538293,203578
3578,3,1760.3961629804398,303578
3578,4,2019.9017650008377,403578
3578,5,1440.4370391580328,503578
3578,6,2153.9970200354082,603578
3579,1,2522.7703460436155,103579
3579,2,2846.3251831174016,203579
3579,3,1650.4900289325415,303579
3579,4,2651.145106898067,403579
3579,5,534.3474461299493,503579
3579,6,2189.655211716098,603579
3580,1,1209.4049675375038,103580
3580,2,1056.1255038785646,203580
3580,3,789.7682027200345,303580
3580,4,1011.6973815430554,403580
3580,5,672.6522982904044,503580
3580,6,961.8643278181546,603580
3581,1,2054.118563468763,103581
3581,2,1879.9701015805065,203581
3581,3,1017.6552585118451,303581
3581,4,1421.1576835997994,403581
3581,5,759.864228571686,503581
3581,6,1375.1322316645055,603581
3582,1,1673.2575534568537,103582
3582,2,1639.1655601573984,203582
3582,3,1121.0001787020828,303582
3582,4,3429.8666952467174,403582
3582,5,639.1064996643504,503582
3582,6,2749.931489736131,603582
3583,1,4062.7716106650255,103583
3583,2,3742.7212696512315,203583
3583,3,3441.4918097570608,303583
3583,4,7282.114261267439,403583
3583,5,1171.5485325231214,503583
3583,6,3673.6694029934097,603583
3584,1,3928.241507504111,103584
3584,2,3709.715161009723,203584
3584,3,2759.6541719408892,303584
3584,4,3554.771816460563,403584
3584,5,2171.0198447644707,503584
3584,6,3059.426103116501,603584
3585,1,2121.5237481696195,103585
3585,2,2110.123390204204,203585
3585,3,1613.8473011189053,303585
3585,4,2742.6373375323387,403585
3585,5,664.4307486567534,503585
3585,6,2080.5449608828944,603585
3586,1,964.3256022499756,103586
3586,2,1100.3736669879681,203586
3586,3,1461.7209824723973,303586
3586,4,4857.726780686335,403586
3586,5,500.487541888004,503586
3586,6,1196.3916934565696,603586
3587,1,1615.0280974630814,103587
3587,2,1499.2794820916,203587
3587,3,1251.2247275075692,303587
3587,4,1503.19870120633,403587
3587,5,830.492553567545,503587
3587,6,1472.6520267954106,603587
3588,1,666.9343106833,103588
3588,2,604.9759503483231,203588
3588,3,511.0674142247429,303588
3588,4,746.2433471819699,403588
3588,5,388.9501047499954,503588
3588,6,540.84313368204,603588
3589,1,4159.828558066345,103589
3589,2,3791.864447828235,203589
3589,3,3058.0896983023576,303589
3589,4,4122.71017764643,403589
3589,5,2408.364769154424,503589
3589,6,3351.8707690574674,603589
3590,1,670.7591727588549,103590
3590,2,634.0360081198658,203590
3590,3,438.06360452415186,303590
3590,4,522.83463335562,403590
3590,5,378.5163493490337,503590
3590,6,508.7082712136107,603590
3592,1,1072.3177178722874,103592
3592,2,974.2420769886149,203592
3592,3,688.8259227578621,303592
3592,4,910.9786661636911,403592
3592,5,510.5949390403922,503592
3592,6,839.0285067795671,603592
3593,1,956.1580210223135,103593
3593,2,908.3357166198052,203593
3593,3,760.0975428701333,303593
3593,4,792.841721126312,403593
3593,5,578.3667550902417,503593
3593,6,786.7249197808229,603593
3594,1,2212.0612532826917,103594
3594,2,2044.86361792333,203594
3594,3,1636.8233769155186,303594
3594,4,2327.749827894004,403594
3594,5,1237.8491279038235,503594
3594,6,1790.1727619449148,603594
3595,1,3084.7873402232167,103595
3595,2,3144.9173180432376,203595
3595,3,1966.7155594438577,303595
3595,4,1956.8263202171865,403595
3595,5,743.9093422741428,503595
3595,6,3018.7998807153517,603595
3596,1,695.8328004339979,103596
3596,2,859.2994631136156,203596
3596,3,603.6287944066976,303596
3596,4,658.5297433166375,403596
3596,5,298.30441758539246,503596
3596,6,897.4982926362295,603596
3597,1,1676.9157650687043,103597
3597,2,1603.9361847496125,203597
3597,3,1027.1024822422362,303597
3597,4,1385.2791238854793,403597
3597,5,782.2667684406631,503597
3597,6,1274.6568116254966,603597
3598,1,1705.505576231646,103598
3598,2,1657.4123978637704,203598
3598,3,1051.3790104806612,303598
3598,4,1335.9467388566504,403598
3598,5,286.92538118676447,503598
3598,6,1666.6955301798191,603598
3599,1,1700.5439474840357,103599
3599,2,1188.1761003841607,203599
3599,3,1401.1991607582265,303599
3599,4,2010.3374676692015,403599
3599,5,1387.1160148815206,503599
3599,6,2487.948442839299,603599
3600,1,2943.553700616926,103600
3600,2,2536.7411822002578,203600
3600,3,1487.2870313533958,303600
3600,4,2245.4119181196597,403600
3600,5,1275.4053481154415,503600
3600,6,2010.43405114773,603600
3601,1,2584.595128957996,103601
3601,2,2585.143702319824,203601
3601,3,1950.2076824457754,303601
3601,4,3395.8311830256143,403601
3601,5,649.615941459997,503601
3601,6,2535.8475219410384,603601
3602,1,3513.384872837689,103602
3602,2,3587.5011685015515,203602
3602,3,3259.7067553903435,303602
3602,4,10072.59963271202,403602
3602,5,1005.3028199279712,503602
3602,6,3409.3304483589936,603602
3603,1,1284.4975542990182,103603
3603,2,1204.4899172785972,203603
3603,3,1246.0286652283999,303603
3603,4,2155.725452634564,403603
3603,5,686.9800487770457,503603
3603,6,1207.7716016134798,603603
3604,1,1691.280057854822,103604
3604,2,1608.3518165325113,203604
3604,3,1654.3076302180652,303604
3604,4,2807.984582703389,403604
3604,5,952.7267734594434,503604
3604,6,1586.1689084837549,603604
